IP:PORT, LOSS, DELAY
[2606:4700:d0::5b87:66fa:6c95:af23]:859,0.00%,153 ms
[2606:4700:d0::b2cb:8a9b:7d12:8a76]:859,0.00%,153 ms
[2606:4700:d1::82e0:77b4:8f55:1801]:2408,0.00%,154 ms
[2606:4700:d0::4309:0784:3203:7123]:859,0.00%,154 ms
[2606:4700:d0::4b1d:42e6:6729:cf61]:859,0.00%,154 ms
[2606:4700:d0::6309:fead:d628:207e]:859,0.00%,154 ms
[2606:4700:d0::67aa:1801:0d56:977a]:859,0.00%,154 ms
[2606:4700:d0::5b87:66fa:6c95:af23]:2408,0.00%,154 ms
[2606:4700:d0::4474:f8c6:8c76:6a78]:2408,0.00%,154 ms
[2606:4700:d0::38d1:ee7b:58b9:d78e]:859,0.00%,154 ms
[2606:4700:d0::510e:58b0:341c:8fa8]:859,0.00%,154 ms
[2606:4700:d0::6309:fead:d628:207e]:2408,0.00%,154 ms
[2606:4700:d0::124c:c07a:ee94:e09d]:2408,0.00%,154 ms
[2606:4700:d1::d9e8:e15f:1bf0:5aba]:2408,0.00%,154 ms
[2606:4700:d1::d54f:75b6:fca0:fc9f]:859,0.00%,154 ms
[2606:4700:d0::097e:2ee1:18f7:6abd]:2408,0.00%,154 ms
[2606:4700:d0::b2cb:8a9b:7d12:8a76]:2408,0.00%,154 ms
[2606:4700:d0::2648:3bfc:6a67:7f95]:2408,0.00%,154 ms
[2606:4700:d0::1120:61a3:7cc4:7da8]:2408,0.00%,154 ms
[2606:4700:d1::d57f:d4d8:4882:61a8]:859,0.00%,154 ms
[2606:4700:d0::3c8a:cfdf:779f:cd1b]:2408,0.00%,154 ms
[2606:4700:d0::9064:cd41:0db2:7e33]:2408,0.00%,154 ms
[2606:4700:d0::4309:0784:3203:7123]:2408,0.00%,154 ms
[2606:4700:d1::c995:decf:1458:9940]:2408,0.00%,154 ms
[2606:4700:d0::38d1:ee7b:58b9:d78e]:2408,0.00%,154 ms
[2606:4700:d1::8b4e:dedb:2d9e:fd7e]:859,0.00%,154 ms
[2606:4700:d1::7b63:0c91:e913:e91b]:2408,0.00%,154 ms
[2606:4700:d1::c995:decf:1458:9940]:859,0.00%,154 ms
[2606:4700:d1::d57f:d4d8:4882:61a8]:2408,0.00%,154 ms
[2606:4700:d0::766a:5108:16a1:461d]:859,0.00%,154 ms
[2606:4700:d0::5508:4904:d92b:1e88]:859,0.00%,154 ms
[2606:4700:d0::0f1c:70f1:98be:178a]:2408,0.00%,154 ms
[2606:4700:d1::c3c6:455d:d6ed:e181]:859,0.00%,154 ms
[2606:4700:d0::0652:d6c9:7909:4d48]:859,0.00%,154 ms
[2606:4700:d0::52cc:992d:79e0:c0cc]:859,0.00%,154 ms
[2606:4700:d1::8830:b572:f285:1478]:859,0.00%,154 ms
[2606:4700:d0::967a:2619:7c1b:365d]:2408,0.00%,154 ms
[2606:4700:d0::7b27:a5ae:e625:df82]:859,0.00%,154 ms
[2606:4700:d1::d6d3:0a8a:52fe:daa7]:2408,0.00%,154 ms
[2606:4700:d0::a213:263c:0600:5411]:859,0.00%,154 ms
[2606:4700:d1::e404:a153:b9e4:36e2]:859,0.00%,154 ms
[2606:4700:d0::87b9:dcb4:8f17:4266]:2408,0.00%,154 ms
[2606:4700:d0::124c:c07a:ee94:e09d]:859,0.00%,154 ms
[2606:4700:d1::d54f:75b6:fca0:fc9f]:2408,0.00%,154 ms
