IP:PORT,Delay(ms)
162.159.192.150:1387,149
162.159.192.192:7103,150
162.159.192.12:908,150
162.159.192.79:934,150
162.159.192.210:894,150
162.159.192.109:859,150
162.159.192.122:2506,150
162.159.192.192:1010,150
162.159.192.210:8319,150
162.159.192.148:7103,150
162.159.192.150:864,150
162.159.192.113:5279,150
162.159.192.35:4500,150
162.159.192.137:7281,150
162.159.192.67:1070,150
162.159.192.26:894,150
162.159.192.18:942,150
162.159.192.211:955,150
162.159.192.113:3854,150
162.159.192.165:1180,150
162.159.192.113:1843,150
162.159.192.14:8742,150
162.159.192.251:1070,150
162.159.192.121:987,150
162.159.192.141:891,150
162.159.192.176:7559,150
162.159.192.249:939,150
162.159.192.28:891,150
162.159.192.242:890,150
162.159.192.121:1010,150
162.159.192.201:1180,150
162.159.192.109:891,150
162.159.192.92:1018,150
162.159.192.120:942,150
162.159.192.67:943,150
162.159.192.249:7103,150
162.159.192.218:945,150
162.159.192.151:946,150
162.159.192.69:4198,150
162.159.192.26:7152,150
162.159.192.211:1002,150
162.159.192.165:3581,150
162.159.192.121:7281,150
162.159.192.120:2408,150
162.159.192.147:3581,150
162.159.192.166:854,151
162.159.192.131:3854,151
162.159.192.113:7156,151
162.159.192.69:864,151
162.159.192.201:3476,151
162.159.192.18:1010,151
162.159.192.110:880,151
162.159.192.206:8854,151
162.159.192.195:891,151
162.159.192.147:945,151
162.159.192.141:2506,151
162.159.192.218:943,151
162.159.192.251:890,151
162.159.192.14:988,151
162.159.192.210:3581,151
162.159.192.47:8319,151
162.159.192.211:859,151
162.159.192.192:2408,151
162.159.192.35:934,151
162.159.192.113:3581,151
162.159.192.232:4177,151
162.159.192.218:5956,151
162.159.192.12:8742,151
162.159.192.113:945,151
162.159.192.47:1701,151
162.159.192.141:1074,151
162.159.192.166:4500,151
162.159.192.210:3138,151
162.159.192.47:968,151
162.159.192.107:934,151
162.159.192.166:2371,151
162.159.192.185:943,151
162.159.192.26:2371,151
162.159.192.67:1701,151
162.159.192.162:8742,151
162.159.192.162:2506,151
162.159.192.79:1701,151
162.159.192.40:891,151
162.159.192.126:928,151
162.159.192.147:1014,151
162.159.192.121:3854,151
162.159.192.147:2506,151
162.159.192.249:8854,151
162.159.192.47:890,151
162.159.192.120:946,151
162.159.192.88:8319,151
162.159.192.147:3476,151
162.159.192.134:1002,151
162.159.192.67:1010,151
162.159.192.126:3581,151
162.159.192.126:8854,151
162.159.192.162:5279,151
162.159.192.218:955,151
162.159.192.175:500,151
162.159.192.211:4198,151
162.159.192.69:2506,151
162.159.192.137:7152,151
162.159.192.35:1180,151
162.159.192.192:864,151
162.159.192.211:4177,151
162.159.192.110:945,151
162.159.192.12:945,151
162.159.192.165:1002,151
162.159.192.150:894,151
162.159.192.113:3138,151
162.159.192.211:945,151
162.159.192.232:908,151
162.159.192.223:891,151
162.159.192.18:4198,151
162.159.192.28:1010,151
162.159.192.175:7103,151
162.159.192.109:946,151
162.159.192.131:943,151
162.159.192.242:942,151
162.159.192.234:1070,151
162.159.192.28:968,151
162.159.192.195:864,151
162.159.192.251:1074,151
162.159.192.218:934,151
162.159.192.40:7152,151
162.159.192.195:854,151
162.159.192.192:859,151
162.159.192.136:1014,151
162.159.192.165:968,151
162.159.192.79:1180,151
162.159.192.192:3138,151
162.159.192.151:864,151
162.159.192.75:878,151
162.159.192.120:3476,151
162.159.192.120:1018,151
162.159.192.131:3581,151
162.159.192.120:928,151
162.159.192.151:2408,151
162.159.192.147:943,151
162.159.192.151:7103,151
162.159.192.166:4233,151
162.159.192.110:854,151
162.159.192.209:859,151
162.159.192.242:8742,151
162.159.192.147:878,151
162.159.192.211:943,151
162.159.192.148:500,152
162.159.192.121:942,152
162.159.192.232:2408,152
162.159.192.88:4198,152
162.159.192.92:1843,152
162.159.192.107:4500,152
162.159.192.184:988,152
162.159.192.79:2371,152
162.159.192.40:5956,152
162.159.192.187:987,152
162.159.192.175:968,152
162.159.192.162:2371,152
162.159.192.18:908,152
162.159.192.150:945,152
162.159.192.210:7103,152
162.159.192.69:988,152
162.159.192.137:1002,152
162.159.192.229:8742,152
162.159.192.230:500,152
162.159.192.121:8886,152
162.159.192.160:1074,152
162.159.192.125:1014,152
162.159.192.137:3476,152
162.159.192.118:987,152
162.159.192.134:988,152
162.159.192.206:2371,152
162.159.192.192:968,152
162.159.192.147:3854,152
162.159.192.147:891,152
162.159.192.210:878,152
162.159.192.47:939,152
162.159.192.151:968,152
162.159.192.47:1010,152
162.159.192.26:4233,152
162.159.192.110:3138,152
162.159.192.141:1701,152
162.159.192.68:894,152
162.159.192.47:4233,152
162.159.192.75:7156,152
162.159.192.211:3581,152
162.159.192.121:4500,152
162.159.192.26:859,152
162.159.192.120:939,152
162.159.192.93:7103,152
162.159.192.121:1018,152
162.159.192.206:928,152
162.159.192.75:2506,152
162.159.192.69:891,152
162.159.192.47:1387,152
162.159.192.238:8886,152
162.159.192.147:987,152
162.159.192.69:1387,152
162.159.192.131:1387,152
162.159.192.210:7281,152
162.159.192.67:1387,152
162.159.192.35:1070,152
